id,timestamp,symbol,patterns,ml_win_probability,actual_result,pnl
5185,1764185143238,XRPUSDT,[],58.61,,
5186,1764185443238,XRPUSDT,"[""doji""]",66.32,,
5187,1764185743238,XRPUSDT,[],73.55,,
5188,1764186943238,XRPUSDT,"[""bullish_engulfing""]",57.16,,
5189,1764188143238,XRPUSDT,"[""bearish_engulfing""]",71.05,,
5190,1764189043238,XRPUSDT,[],68.3,,
5191,1764189343238,XRPUSDT,"[""shooting_star""]",59.3,,
5192,1764189943238,XRPUSDT,"[""bullish_engulfing""]",57.9,,
5193,1764191443238,XRPUSDT,"[""doji""]",63.15,,
5194,1764192043238,XRPUSDT,[],60.32,,
